Item ID,Custom Label,Product ID Type,Product ID Value,Product ID Value 2,Quantity Available,Purchases,Bids,Price,Start Date,End Date,Condition,Type,Item Title,Category Leaf Name,Category Number,Private Notes,Site Listed,Download Date,Variation Details,Product Reference ID,Condition ID,OutOfStockControl
260694905135,,,,,1,0,,$34.99,Nov-18-10,,New,9,LPGA Square Two Women's Light & Easy Oversize 6 Iron Graphite Shaft Golf Club LH,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
260694905137,1061W,,,,5,0,,$34.99,Nov-18-10,,New,9,LPGA Square Two Women's Light  Easy Oversize RH 6 Petite Iron Graphite Golf Club,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
250728947979,,,,,1,0,,$34.99,Nov-18-10,,New,9,LPGA Square Two Women's Light & Easy Oversize LH Sand Wedge Stee Shaft Golf Club,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
250728947983,1062C,,,,30,2,,$34.99,Nov-18-10,,New,9,"LPGA Square Two Women's Light & Easy Oversize 7 Iron Graphite Shaft Golf Club,LH",Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
250728947984,1061E,,,,4,3,,$34.99,Nov-18-10,,New,9,LPGA Square Two Women's Light  Easy Oversize RH Petite 8 Iron Graphite Golf Club,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
260694907111,,,,,1,0,,$34.99,Nov-18-10,,New,9,LPGA Square Two Women's Light & Easy Oversize LH 8 Iron Graphite Shaft Golf Club,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
260694907112,,,,,1,0,,$34.99,Nov-18-10,,New,9,LPGA Square Two Women's Light & Easy Oversize LH Graphite Sand Wedge Golf Club,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
260694907114,1062V,,,,20,9,,$34.99,Nov-18-10,,New,9,"LPGA Square Two Women's Light & Easy Oversize 8 Iron Graphite Shaft Golf Club,RH",Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
260694907118,1076T,,,,1,0,,$34.99,Nov-18-10,,New,9,Square Two LPGA Light & Easy Oversize 5 Iron Golf Club_Steel Shaft_Petite_LH,Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
250728947995,,,,,1,1,,$34.99,Nov-18-10,,New,9,"LPGA Square Two Light & Easy XL 9 Iron Golf Club, Graphite Shaft, LH",Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
250728947996,,,,,1,1,,$34.99,Nov-18-10,,New,9,"LPGA Square Two Light & Easy XL 8 Iron Golf Club, Steel Shaft, RH",Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
250728947997,1060Q,,,,3,0,,$34.99,Nov-18-10,,New,9,"LPGA Square Two Light & Easy XL 8 Iron Golf Club, Graphite Shaft, LH",Golf Clubs,115280,,0,Apr-23-20 22:19:57 PDT,,,1000,false
